date,n_assets,count_above_mp_raw,count_above_mp_ex_market,top_eig,second_eig,mp_edge
2021-09-01,25,3,2,3.21885190053549,2.89930476593804,1.72914713755506
2021-09-02,25,3,2,3.23166492306437,2.90194457505315,1.72914713755506
2021-09-03,25,3,2,3.24294452380946,2.90964248097345,1.72914713755506
2021-09-06,25,3,2,3.25203834017741,2.89213183173931,1.72914713755506
2021-09-07,25,3,2,3.27250385510781,2.88089172156115,1.72914713755506
2021-09-08,25,3,2,3.20568590460772,2.88561574557928,1.72914713755506
2021-09-09,25,3,2,3.20206944833517,2.88265281570543,1.72914713755506
2021-09-10,25,3,2,3.1783546045878,2.87724881550183,1.72914713755506
2021-09-13,25,3,2,3.1793614620104,2.88912967157933,1.72914713755506
2021-09-14,25,3,2,3.18735489328107,2.88485168371657,1.72914713755506
2021-09-15,25,3,2,3.21277469320176,2.87047062969126,1.72914713755506
2021-09-16,25,3,2,3.22109454922604,2.87313284928017,1.72914713755506
2021-09-17,25,3,2,3.21339731716562,2.87611665981734,1.72914713755506
2021-09-20,25,3,2,3.27404997153159,2.88447082492281,1.72914713755506
2021-09-21,25,3,2,3.26762637018422,2.88586335019346,1.72914713755506
2021-09-22,25,3,2,3.2768437353533,2.88152579698851,1.72914713755506
2021-09-23,25,3,2,3.29361976220507,2.85128889386915,1.72914713755506
2021-09-24,25,3,2,3.28190024967774,2.85653948019629,1.72914713755506
2021-09-27,25,3,2,3.27997547616425,2.8563301038656,1.72914713755506
2021-09-28,25,3,2,3.26471503828549,2.88760779003727,1.72914713755506
2021-09-29,25,3,2,3.25910126553577,2.86430296231851,1.72914713755506
2021-09-30,25,3,2,3.24821892451733,2.87196965584423,1.72914713755506
2021-10-01,25,3,2,3.26568473293304,2.85708923786043,1.72914713755506
2021-10-04,25,3,2,3.26888415020167,2.84835455733682,1.72914713755506
2021-10-05,25,3,2,3.2561613928,2.85056959432823,1.72914713755506
2021-10-06,25,3,2,3.25548339116469,2.83008668844342,1.72914713755506
2021-10-07,25,3,2,3.25884649819408,2.82940754773681,1.72914713755506
2021-10-08,25,3,2,3.26165956149628,2.82733699680133,1.72914713755506
2021-10-11,25,3,2,3.26455955079631,2.82680749220528,1.72914713755506
2021-10-12,25,3,2,3.2566568754387,2.82711615739704,1.72914713755506
2021-10-13,25,3,2,3.25580160319663,2.82647418955968,1.72914713755506
2021-10-14,25,3,2,3.26694056947827,2.83212183620702,1.72914713755506
2021-10-15,25,3,2,3.19214936524456,2.75498731617446,1.72914713755506
2021-10-18,25,3,2,3.17913491819593,2.75981730148758,1.72914713755506
2021-10-19,25,3,2,3.17424113442813,2.7555951583202,1.72914713755506
2021-10-20,25,3,2,3.17923994763692,2.74685132814105,1.72914713755506
2021-10-21,25,3,2,3.1872332017132,2.73877569806466,1.72914713755506
2021-10-22,25,3,2,3.19413069224308,2.71758446269073,1.72914713755506
2021-10-25,25,3,2,3.18607431391676,2.72114684694337,1.72914713755506
2021-10-26,25,3,2,3.19340108542838,2.72629390303828,1.72914713755506
2021-10-27,25,3,2,3.19028397168436,2.75960439526828,1.72914713755506
2021-10-28,25,3,2,3.19060583309778,2.77707593040635,1.72914713755506
2021-10-29,25,3,2,3.18415514980239,2.7495266982561,1.72914713755506
2021-11-01,25,3,2,3.20048810493869,2.74336649406485,1.72914713755506
2021-11-02,25,3,2,3.20889855767739,2.73549040786573,1.72914713755506
2021-11-03,25,3,2,3.14428656510158,2.75131271365131,1.72914713755506
2021-11-04,25,3,2,3.1565971183051,2.75878116700145,1.72914713755506
2021-11-05,25,3,2,3.14531413883747,2.75121180929799,1.72914713755506
2021-11-08,25,3,2,3.1455113071574,2.75451991208706,1.72914713755506
2021-11-09,25,3,2,3.15974657953047,2.75354450770509,1.72914713755506
