ticker,model,ar,n,omega,alpha1,beta1,gamma1,skew,shape,persistence,loglik,LB10_z,LB10_z2,lr_stat,lr_pval,ar1_retry,n_winsorized
DXY,gjr_sstd,0,2863,1.59362913654536e-07,0.0409924680473659,0.95233649303329,-0.00351300689582661,0.96332264367017,9.94906626597484,0.991595110270622,11647.2992225049,0.343444332388944,0.359419897498475,2.17196388622688,0.140546646705455,FALSE,1
US10Y,gjr_sstd,0,2863,2.34882708319212e-05,0.0478662027353231,0.941719126625817,0.00463693841297844,1.03274425274488,10.3605689069206,0.991929356226241,4576.90631814079,0.97648500781365,0.286151365217334,1.3059243316111,0.253133905238944,FALSE,1
GHANA10Y,ewma,0,2262,,,,,,,,,,,,,FALSE,20
BRL,gjr_sstd,0,2863,6.06414428045114e-07,0.0577406588359458,0.955468767986047,-0.0387217758923196,1.08460809114119,8.02134590501882,0.993279918265768,9284.00112569236,0.090220449714012,0.837505831274542,9.99503252473369,0.00156963056765105,FALSE,3
VND,gjr_n,1,2863,1.14993691804321e-08,0.0897396422743215,0.919445759228552,-0.0287996204716669,,,0.994785591270004,15328.6478480934,4.8048381482424e-06,0.318640749032,,,FALSE,17
GHS,gjr_sstd,1,2863,1.24829165949648e-06,0.308300401227545,0.679078450045173,0.022534864064765,1.05502321411327,3.18205890403648,0.998999797735726,10371.7041596635,3.41064276820902e-09,0.995046343057158,12.2948047629325,0.000454220882600677,TRUE,22
HSY,gjr_sstd,0,2863,1.03105844425233e-05,0.0501924240319196,0.85671590493842,0.0792324263168865,0.9392140581828,4.30723464710458,0.945348737978119,8599.60181151519,0.648843969433552,0.996601831597085,5.54969955285924,0.0184838594707259,FALSE,11
MDLZ,gjr_sstd,0,2863,1.01358724121366e-05,0.0263724669390872,0.857894019858765,0.125327489769738,0.955366734302642,4.31328652069213,0.945571152537913,8667.00480400778,0.100082307129574,0.795673657504748,3.11658886815712,0.0774988604911567,FALSE,8
NESN,gjr_sstd,0,2862,9.21993854726135e-06,0.0316348460917152,0.840186908401863,0.0917207590109472,0.961361246194353,4.95146659120908,0.916884402508277,9200.54189790165,0.098106756518836,0.965507656260641,2.55737211257292,0.109780929622962,FALSE,5
SJM,gjr_sstd,0,2863,1.6286918254345e-05,0.0653134466933783,0.858473437767087,-0.000524178587755149,0.947018747318082,4.25034924879449,0.923531616155767,8319.4956319789,0.116374671313334,0.991656318116383,4.21984064499338,0.0399539128823507,FALSE,12
SBUX,gjr_sstd,0,2863,1.20965838230634e-05,0.0371979987549208,0.870819584285482,0.106472676016308,0.976833680551881,3.85839922911457,0.960616225796804,8091.23306086891,0.302104696387325,0.993582721006313,0.8132178356027,0.367170603582205,FALSE,12
LISN,gjr_sstd,0,2862,6.12817361284715e-06,0.0453463739507128,0.876356013439157,0.0705043054073858,0.964995797940137,5.27497324151869,0.956416414421753,8906.6448369561,0.343126866508501,0.985964622873496,1.98500120042081,0.158864530666984,FALSE,6
VIX,gjr_sstd,0,2863,0.000581751815355512,0.308330407614874,0.763127341323285,-0.344322770842806,1.38020938549969,5.27142541733263,0.879131245846584,3664.37958333829,0.0183318680969816,0.615877850809107,184.630886859894,4.72475188997076e-42,FALSE,8
